cpf,data_nascimento,nome,limite_credito,score
12345678901,15/03/1990,João Silva,5000.00,650
98765432100,22/07/1985,Maria Santos,8000.00,780
11122233344,10/11/1992,Pedro Oliveira,3000.00,520
55566677788,05/05/1988,Ana Costa,10000.00,850
99988877766,18/09/1995,Carlos Mendes,2000.00,420
44455566677,30/12/1987,Juliana Ferreira,6500.00,700
33344455566,25/04/1993,Roberto Alves,4500.00,600
22233344455,14/08/1991,Fernanda Lima,7500.00,750
66677788899,03/01/1989,Lucas Rocha,3500.00,550
77788899900,29/06/1994,Patricia Gomes,9000.00,820
